,first,second
0,10.0,5.0
1,20.0,5.0
2,30.0,5.0
3,40.0,5.0
4,50.0,5.0
5,60.0,5.0
6,70.0,5.0
7,80.0,5.0
8,90.0,5.0
9,100.0,5.0
10,10.0,10.0
11,20.0,10.0
12,30.0,10.0
13,40.0,10.0
14,50.0,10.0
15,60.0,10.0
16,70.0,10.0
17,80.0,10.0
18,90.0,10.0
19,100.0,10.0
20,10.0,15.0
21,20.0,15.0
22,30.0,15.0
23,40.0,15.0
24,50.0,15.0
25,60.0,15.0
26,70.0,15.0
27,80.0,15.0
28,90.0,15.0
29,100.0,15.0
30,10.0,20.0
31,20.0,20.0
32,30.0,20.0
33,40.0,20.0
34,50.0,20.0
35,60.0,20.0
36,70.0,20.0
37,80.0,20.0
38,90.0,20.0
39,100.0,20.0
40,10.0,25.0
41,20.0,25.0
42,30.0,25.0
43,40.0,25.0
44,50.0,25.0
45,60.0,25.0
46,70.0,25.0
47,80.0,25.0
48,90.0,25.0
49,100.0,25.0
50,10.0,30.0
51,20.0,30.0
52,30.0,30.0
53,40.0,30.0
54,50.0,30.0
55,60.0,30.0
56,70.0,30.0
57,80.0,30.0
58,90.0,30.0
59,100.0,30.0
60,10.0,35.0
61,20.0,35.0
62,30.0,35.0
63,40.0,35.0
64,50.0,35.0
65,60.0,35.0
66,70.0,35.0
67,80.0,35.0
68,90.0,35.0
69,100.0,35.0
70,10.0,40.0
71,20.0,40.0
72,30.0,40.0
73,40.0,40.0
74,50.0,40.0
75,60.0,40.0
76,70.0,40.0
77,80.0,40.0
78,90.0,40.0
79,100.0,40.0
80,10.0,45.0
81,20.0,45.0
82,30.0,45.0
83,40.0,45.0
84,50.0,45.0
85,60.0,45.0
86,70.0,45.0
87,80.0,45.0
88,90.0,45.0
89,100.0,45.0
90,10.0,50.0
91,20.0,50.0
92,30.0,50.0
93,40.0,50.0
94,50.0,50.0
95,60.0,50.0
96,70.0,50.0
97,80.0,50.0
98,90.0,50.0
99,100.0,50.0